Current,,
,,
證券代碼,年月日,報酬率％
Y9999 加權指數,2001/12/31,2.8335
1101 台泥,2001/12/31,1.7857
1102 亞泥,2001/12/31,3.3981
1103 嘉泥,2001/12/31,2.069
1104 環泥,2001/12/31,-2.5424
1108 幸福,2001/12/31,6.689
1109 信大,2001/12/31,1.5
1110 東泥,2001/12/31,6.25
1201 味全,2001/12/31,4.0323
1210 大成,2001/12/31,4.5714
1213 大飲,2001/12/31,0
1215 卜蜂,2001/12/31,1.6807
1216 統一,2001/12/31,6.6946
1217 愛之味,2001/12/31,2.4793
1218 泰山,2001/12/31,3.7037
1219 福壽,2001/12/31,0
1220 台榮,2001/12/31,1.6949
1225 福懋油,2001/12/31,-0.6452
1227 佳格,2001/12/31,-0.6711
1229 聯華,2001/12/31,1.6807
1231 聯華食,2001/12/31,3.0303
1232 大統益,2001/12/31,0.3584
1233 天仁,2001/12/31,-1.2048
1234 黑松,2001/12/31,0.8969
1235 興泰,2001/12/31,0.6667
1236 宏亞,2001/12/31,0.8333
1301 台塑,2001/12/31,1.5823
1303 南亞,2001/12/31,2.2901
1304 台聚,2001/12/31,2.2388
1305 華夏,2001/12/31,3.2258
1307 三芳,2001/12/31,1.6216
1308 亞聚,2001/12/31,2.0661
1309 台達化,2001/12/31,1.3986
1310 台苯,2001/12/31,4.5455
1312 國喬,2001/12/31,2.381
1313 聯成,2001/12/31,2.6423
1314 中石化,2001/12/31,-2.3569
1315 達新,2001/12/31,0.6944
1316 上曜,2001/12/31,0.8065
1319 東陽,2001/12/31,0.7042
1321 大洋,2001/12/31,0
1323 永裕,2001/12/31,3.7313
1324 地球,2001/12/31,1.8957
1325 恒大,2001/12/31,0
1326 台化,2001/12/31,2.6201
1402 遠東新,2001/12/31,1.9608
1409 新纖,2001/12/31,3.8136
1410 南染,2001/12/31,0
1413 宏洲,2001/12/31,2.6316
1414 東和,2001/12/31,0.7143
1416 廣豐,2001/12/31,3.3333
1417 嘉裕,2001/12/31,2.8571
1418 東華,2001/12/31,-0.2688
1419 新紡,2001/12/31,0.3788
1423 利華,2001/12/31,6.087
1432 大魯閣,2001/12/31,2.7397
1434 福懋,2001/12/31,2.5253
1435 中福,2001/12/31,0
1436 華友聯,2001/12/31,6.6667
1437 勤益控,2001/12/31,0.813
1438 三地開發,2001/12/31,5.8824
1439 中和,2001/12/31,-2.069
1440 南紡,2001/12/31,3.5398
1441 大東,2001/12/31,0
1442 名軒,2001/12/31,0
1443 立益,2001/12/31,4.9505
1444 力麗,2001/12/31,6.8323
1445 大宇,2001/12/31,0
1446 宏和,2001/12/31,0.7752
1447 力鵬,2001/12/31,5.1613
1449 佳和,2001/12/31,4.7273
1451 年興,2001/12/31,2.2321
1452 宏益,2001/12/31,6.6038
1453 大將,2001/12/31,1.8293
1454 台富,2001/12/31,-6.7797
1455 集盛,2001/12/31,6.5421
1456 怡華,2001/12/31,5.6075
1457 宜進,2001/12/31,6.7885
1459 聯發,2001/12/31,6.7073
1460 宏遠,2001/12/31,0
1463 強盛,2001/12/31,0.9732
1464 得力,2001/12/31,6.6667
1465 偉全,2001/12/31,0.8969
1466 聚隆,2001/12/31,1.6667
1467 南緯,2001/12/31,0.3534
1468 昶和,2001/12/31,2.9536
1470 大統新創,2001/12/31,0
1471 首利,2001/12/31,0.6369
1472 三洋紡,2001/12/31,1.2658
1473 台南,2001/12/31,2.0566
1474 弘裕,2001/12/31,1.7391
1475 業旺,2001/12/31,1.6
1476 儒鴻,2001/12/31,-0.5714
1503 士電,2001/12/31,1.8987
1504 東元,2001/12/31,3.2864
1506 正道,2001/12/31,2.994
1507 永大,2001/12/31,2.4096
1512 瑞利,2001/12/31,3.8235
1513 中興電,2001/12/31,2.4691
1514 亞力,2001/12/31,0.641
1515 力山,2001/12/31,1.8868
1516 川飛,2001/12/31,2.5641
1517 利奇,2001/12/31,2.3148
1519 華城,2001/12/31,-2.3529
1521 大億,2001/12/31,5
1522 堤維西,2001/12/31,4.4444
1524 耿鼎,2001/12/31,2.0833
1525 江申,2001/12/31,0.9009
1526 日馳,2001/12/31,2.3438
1527 鑽全,2001/12/31,4.067
1528 恩德,2001/12/31,1.3514
1529 樂士,2001/12/31,6.9307
1530 亞崴,2001/12/31,3.1579
1531 高林股,2001/12/31,2.0576
1532 勤美,2001/12/31,2.6846
1533 車王電,2001/12/31,4.6748
1535 中宇,2001/12/31,-0.4902
1536 和大,2001/12/31,3.125
1538 正峰,2001/12/31,0.5155
1539 巨庭,2001/12/31,1.5075
1540 喬福,2001/12/31,2.6846
1603 華電,2001/12/31,6.5672
1604 聲寶,2001/12/31,3.7037
1605 華新,2001/12/31,6.7073
1608 華榮,2001/12/31,6.9277
1609 大亞,2001/12/31,1.5306
1611 中電,2001/12/31,1.3333
1612 宏泰,2001/12/31,3.7037
1614 三洋電,2001/12/31,-0.5495
1615 大山,2001/12/31,1
1616 億泰,2001/12/31,5.8427
1617 榮星,2001/12/31,1.4599
1618 合機,2001/12/31,5.5556
1701 中化,2001/12/31,3.3557
1702 南僑,2001/12/31,6.6667
