編號,地點,地址,緯度,經度,類別
1,臺灣鹽博物館,724 臺南市七股區鹽埕里69號,23.15535,120.10565,地方展館、在地藝文、無障礙設施
2,七股鹽山,724 臺南市七股區鹽埕里66號,23.15427,120.10026,生態教育、自然景觀、休閒農漁、無障礙設施
3,北門遊客中心,727 臺南市北門區北門里舊埕200號,23.26715,120.12397,在地藝文、無障礙設施
4,井仔腳瓦盤鹽田,727 臺南市北門區永華里井仔腳興安宮旁,23.25958,120.10819,生態教育、自然景觀、無障礙設施
5,尖山埤江南渡假村,736 臺南市柳營區旭山里60號,23.26649,120.39331,生態教育
6,烏山頭水庫風景區,720 臺南市官田區烏山頭里嘉南68-2號,23.20789,120.36339,主題園區、風景區
7,曾文水庫,715 臺南市楠西區密枝里70號,23.20958,120.49687,生態教育
8,關子嶺溫泉區,732 臺南市白河區關嶺里28-3號,23.34051,120.50445,生態教育、自然景觀、公園綠地、溫泉度假、風景區、熱門景點
9,虎頭埤風景區,712 臺南市新化區中興路42巷36號,23.02712,120.3361,休閒農漁、無障礙設施、風景區
10,南元休閒農場,736 臺南市柳營區果毅里南湖25號,23.24037,120.37828,休閒農漁
11,走馬瀨農場,742 臺南市大內區二溪里唭子瓦60號,23.13718,120.42986,主題園區
12,烏樹林休閒園區,731 臺南市後壁區烏樹里烏樹林184號,23.32872,120.37372,在地藝文
13,頑皮世界,726 臺南市學甲區頂州里75-25號,23.2809,120.20947,生態教育、地方展館、休閒農漁、主題園區
14,南鯤鯓代天府,727 臺南市北門區鯤江976號,23.28647,120.14159,歷史古蹟、宗教廟宇、在地藝文、無障礙設施
15,麻豆代天府,721 臺南市麻豆區南勢里關帝廟60號,23.19034,120.26109,宗教廟宇
16,馬沙溝濱海遊憩區,725 臺南市將軍區平沙里140號,23.21748,120.08395,戶外運動、休閒農漁
17,國立臺灣歷史博物館,709 臺南市安南區長和路一段250號,23.05787,120.23496,地方展館、在地藝文、無障礙設施
18,奇美博物館,717 臺南市仁德區文華路二段66號,22.93482,120.22619,地方展館、在地藝文、無障礙設施
19,延平郡王祠,700 臺南市中西區開山路152號,22.98798,120.20822,宗教廟宇、在地藝文
20,赤崁樓,700 臺南市中西區民族路二段212號,22.99722,120.20242,歷史古蹟、在地藝文
21,臺南孔子廟,700 臺南市中西區南門路2號,22.99055,120.20409,宗教廟宇、在地藝文
22,祀典武廟,700 臺南市中西區永福路二段229號,22.99635,120.20213,宗教廟宇、在地藝文
23,五妃廟,700 臺南市中西區五妃街201號,22.98257,120.20502,歷史古蹟、宗教廟宇、在地藝文
24,大天后宮,700 臺南市中西區永福路二段227巷18號,22.9966,120.20149,宗教廟宇、在地藝文
25,安平小鎮,708 臺南市安平區國勝路82號,23.00092,120.16062,在地藝文
