編號,名稱,介紹,開放時間,區,地址,緯度,經度,類別,,,,,
489,台灣鹽博物館,一望無際的鹽田中，有兩座白色金字塔並肩聳立，與七股鹽山遙遙相望，這裡是台灣鹽博物館。用視覺回憶鹽田風光；用觸覺掌握鹽粒結晶；用味覺品嘗粗鹽鹹味；用感覺和認知完整體會一路走來的鹽業歷史。,9:00-18:00 (17:00後不售票，博物館開放參觀至17:30，販賣部開放至18:00),七股區,724 臺南市七股區鹽埕里69號,23.15535,120.10565,地方展館、在地藝文、無障礙設施,,,,,
471,七股鹽山,鹽場內共有2座鹽山：主峰與北峰，主峰的鹽是鹽場停產後所留下之鹽，海拔高度20公尺，約6萬公噸；質地堅硬，表層有落塵覆蓋，已成為七股觀光地標。北峰是西澳洲的鹽，是粉碎鹽工廠的原料鹽，像極雪白的極地山頭。,▴全年無休，政府公告之颱風假除外 ▴夏季(3~10月) 09:00~18:00 ▴冬季(11～2月) 08:30~17:30,七股區,724 臺南市七股區鹽埕里66號,23.15427,120.10026,生態教育、自然景觀、休閒農漁、無障礙設施,,,,,
867,北門遊客中心,北門遊客中心是由北門洗滌鹽工廠舊建物群中的西南側倉庫群所改建，遊客中心正中央有著抹香鯨的骨骼標本，經過各地展覽後現在回到遊客中心成為鎮館之寶。區域內遊憩景點一目了然，非常具有旅行的風格。,週一~週日09:00~17:30、除夕日休館,北門區,727 臺南市北門區北門里舊埕200號,23.26715,120.12397,在地藝文、無障礙設施,,,,,
587,井仔腳瓦盤鹽田,為現存最古老的瓦盤鹽田遺址，呈現出馬賽克拼貼般的美麗藝術，後因人工成本過高的原因，於2002年結束了長達338年的曬鹽業，後來為延續鹽業文化而將鹽場復育，現已成為台南濱海最具特色的景點。,▴ 夏令時間(五月-十月): 09:30-18:00 ▴ 冬令時間(十一月-四月): 09:00-17:30,北門區,727 臺南市北門區永華里井仔腳興安宮旁,23.25958,120.10819,生態教育、自然景觀、無障礙設施,,,,,
523,尖山埤江南渡假村,有度假旅館及原木別墅供住宿，最受歡迎的是住宿點是湖畔的醉月小樓，只要望向窗外就可飽覽水面雲霧飄渺風光，除了靜謐優美的風光外，也可在渡假村內的游泳池安全戲水，是台南區域內設施服務到位且擁有獨特風格的渡假勝地。,週一~週日08:00~17:00,柳營區,736 臺南市柳營區旭山里60號,23.26649,120.39331,生態教育,,,,,
529,烏山頭水庫風景區,裡面設有完善的露營區及步道，外圍戀占石碑處可飽覽嘉南大圳流經灌溉帶來的富庶及田野風光；每日都有固定航班載著遊客飽覽有珊瑚潭美譽的烏山頭水上風光，徜徉在碧綠的湖水上，上游島嶼散落其中猶如夢之湖般的幻麗。,8:00~17:30,官田區,720 臺南市官田區烏山頭里嘉南68-2號,23.20789,120.36339,主題園區、風景區,,,,,
641,曾文水庫,大壩高聳的氣勢，曾文之眼的耀眼，觀景台上放眼望去有如瑞士湖畔的絕美景觀，搭船到猶如秘境的湖上探索藏於深處的瀑布，在水面上近距離觀賞老鷹獵捕，抑或是放著帕華洛帝公主徹夜未眠的歌劇音樂，都是在台灣新鮮且難得的體驗。,平常日及冬令期間（11月至翌年3月)、08:00~16:45例假日及夏令期間（4月至10月）08:00~17:45,楠西區,715 臺南市楠西區密枝里70號,23.20958,120.49687,生態教育,,,,,
590,關子嶺溫泉區,關子嶺溫泉與陽明山、北投、四重溪並列台灣四大溫泉名湯，屬弱鹼性碳酸泉，溫度約在攝氏七十五度間，泉水呈現灰黑色，泉質含有鹽類與硫磺，且多含泥漿，浸泡後全身舒暢，皮膚柔滑光潔，有「天下第一靈泉」之譽。,全年開放,白河區,732 臺南市白河區關嶺里28-3號,23.34051,120.50445,生態教育、自然景觀、公園綠地、溫泉度假、風景區、熱門景點,,,,,
562,虎頭埤風景區,"虎頭埤為台灣第一水庫，有著小日月潭的美稱，湖光山色的步道環繞湖畔，不管是散步或騎單車沿途賞景都非常舒服，清晨與黃昏是不可錯過的賞景時刻，日出與夕陽時湖面千變萬化，令人陶醉。
",週一至週日 06:30~22:00,新化區,712 臺南市新化區中興路42巷36號,23.02712,120.3361,休閒農漁、無障礙設施、風景區,,,,,
531,南元休閒農場,春天的楓紅是南元農場最令人驚喜的景觀，由加拿大引進回台種植的特有種孔雀楓，在春天也能看見有如北國冬季的楓紅景致，而到冬季時，栽植的鬱金香及櫻花滿開，農場又是另一幅景致，是一處適合闔家大小一同出遊的好地方。,全天開放,柳營區,736 臺南市柳營區果毅里南湖25號,23.24037,120.37828,休閒農漁,,,,,
542,走馬瀨農場,走馬瀨農場場區面積廣達120公頃，其中40公頃為紐西蘭風情的牧野草原，浩瀚壯麗、碧綠寬廣的青青草原上擺放著象徵帶領人們走向希望的巨大彩虹馬，也有滑草、自行車、射箭、跑馬、高爾夫球等供遊客體驗，讓整個農場歡笑聲不斷。,週一~週五09:00~17:00、週六~週日08:00~17:00(全年無休),大內區,742 臺南市大內區二溪里唭子瓦60號,23.13718,120.42986,主題園區,,,,,
506,烏樹林休閒園區,烏樹林糖廠建於1910年，隨著製糖工業的沒落，運送甘蔗的小火車也跟著響起熄燈號停駛，2002年底烏樹林車站以嶄新的鐵道文化面貌重新亮相。園區內還有蘭花主題館、休閒博物館、生態教育可供參觀，相當適合親子同遊。,"平日: 週一至週五09:00~16:30,假日: 週六週日09:00~17:00",後壁區,731 臺南市後壁區烏樹里烏樹林184號,23.32872,120.37372,在地藝文,,,,,
476,頑皮世界,頑皮世界是台南唯一的老字號動物園，大門口的金剛鸚鵡搖頭晃腦的歡迎著你，動物園裡超人氣的明星水豚、長頸鹿、企鵝、藪貓、狐獴等也都有機會可以近距離的觀賞，是一處以生態教育為理念的專業動物園。,▴09:00~17:00 (最後售票時間 : 16:00) ▴頑皮樂園 (遊樂機械)：09:30~17:00,學甲區,726 臺南市學甲區頂州里75-25號,23.2809,120.20947,生態教育、地方展館、休閒農漁、主題園區,,,,,
466,南鯤鯓代天府,主要祀奉李、池、吳、朱、范等五位王爺，沿海的王爺信仰在這裡展露無遺，每年固定舉辦的平安鹽祭，在10~11月間就會舉辦一連串的活動，拿到平安鹽袋後，到廟前廣場的鹽堆拿些鹽裝入，再到香爐過爐，就是納福驅邪的小寶物。​,主殿-06:00~21:00、大鯤園-08:00~17:00、凌霄寶殿-07:30~17:00(全年無休),北門區,727 臺南市北門區鯤江976號,23.28647,120.14159,歷史古蹟、宗教廟宇、在地藝文、無障礙設施,,,,,
479,麻豆代天府,麻豆代天府主祀五府千歲，1956年啟建，歷經10年完成，廟地有3甲多，分建前、中、後，3大殿及觀音寶殿，有全國首創樟木所刻之立體浮雕門神，進入麻豆區域內一定會看見高聳的巨龍橫亙在廟宇之間，相當雄偉。,週一~週日04:00~21:00,麻豆區,721 臺南市麻豆區南勢里關帝廟60號,23.19034,120.26109,宗教廟宇,,,,,
468,馬沙溝濱海遊憩區,每當夕陽西下，沙灘與海水呈現金黃連成一片，如鏡面倒映晚霞的沙灘與海水，是此處最迷人的時刻，每年夏天固定舉辦的沙雕活動與熱力十足的夏日音樂祭，讓馬沙溝真的不輸給墾丁的春吶般熱鬧。,"星期日 10:00–22:00
星期一 休 息
星期二 休 息
星期三 10:00–22:00
星期四 10:00–22:00
星期五 10:00–22:00
星期六 10:00–22:00",將軍區,725 臺南市將軍區平沙里140號,23.21748,120.08395,戶外運動、休閒農漁,,,,,
852,國立臺灣歷史博物館,外圍有以船槳造型製作的大型動力裝置，象徵先民的乘風破浪，以及可登上安南區最高峰的希望之丘；館內豐富的歷史、人文、自然等多元的典藏，以及根據史實或想像打造出來展覽空間，更是探索台灣歷史的寶庫。,博物館：週二至~週日09:00~17:00（入館時間至16:30）。每週一（逢國定假日照常開放，翌日休館）、農曆除夕及年初一、政府公告之天然災害停止上班日、本館另行公告之必要休館日。園區：上午5時至夜間10時。圖書館：週一至週五09:00~17:00，週六、週日及國定假日不開放。,安南區,709 臺南市安南區長和路一段250號,23.05787,120.23496,地方展館、在地藝文、無障礙設施,,,,,
572,奇美博物館,在2015年開幕的台南都會公園奇美博物館，主建築正面全長150公尺寬，高42公尺，耗資13億，佔地9.5公頃的博物館，典藏無數珍貴的國際級藝術品，到台南就能進到媲美歐洲充滿藝術珍品的殿堂裡，是所有台灣人的福氣。,▴周三休館 ▴戶外園區 9:00－18:30（免費自由參觀） ▴奇美博物館 9:30－17:30（售票截止 16:30 / 最後入場 17:00）,仁德區,717 臺南市仁德區文華路二段66號,22.93482,120.22619,地方展館、在地藝文、無障礙設施,,,,,
792,延平郡王祠,延平郡王祠是座紅色融合日式氣息的福州式建築，穿梭在寫著「前無古人」的三川門牌之下，四扇門面繪製的八個門神，是因為感念鄭成功趕走荷蘭人，而讓洋人穿著明朝官袍繼續為他駐守廟堂門口，也成為一個有趣的景象。,08:30~17:30，全年開放,中西區,700 臺南市中西區開山路152號,22.98798,120.20822,宗教廟宇、在地藝文,,,,,
674,赤崁樓,1652年荷蘭人在此建立普羅民遮城，歷經300多年來幾經整修改建，始有現今的樣貌，內有海神廟、文昌閣及蓬壺書院，外圍草皮上立著國姓爺受降的雕像。南門城邊的9塊御碑，由狀似石龜的贔屭所乘載，也創造不少津津樂道的傳說故事。,週二至週日8：30至17：30 (週一公休),中西區,700 臺南市中西區民族路二段212號,22.99722,120.20242,歷史古蹟、在地藝文,,,,,
