站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,
C0O810,曾文,161,120.497328,23.219681,臺南市,楠西區曾文新村(曾文水庫管理局內),1998/10/8,,,
C0O830,北寮,127,120.495008,23.079561,臺南市,南化區北寮里48-4號,2013/4/18,,原(C1O830)站因擴充為氣象站，於2013/4/18升級為(C0O830)站。,C1O830
C0O840,王爺宮,134,120.40085,23.222064,臺南市,六甲區王爺里24號（六甲國小湖東分校）,2013/12/1,,原(C1O840)站因觀測條件不佳及擴充為氣象站，於2013/12/1升級為(C0O840)站。,C1O840
C0O860,大內,38,120.36083,23.11885,臺南市,大內區74201大內里63號(大內國民小學),2013/8/1,,原(C1O860)站因擴充為氣象站，於2013/8/1升級為(C0O860)站。,C1O860
C0O900,善化,9,120.297219,23.112883,臺南市,善化區益民寮60號(亞洲蔬菜研究發展中心內),1988/10/7,,本站於 2013/5/11 進行儀器汰換，並於2013/8/1完成驗收。,
C0O930,玉井,69,120.46055,23.126042,臺南市,玉井區台灣糖業公司玉井糖廠,1988/10/7,,,
C0O950,安南,4,120.144861,23.076694,臺南市,安南區公學路6段589號(學東國民小學內),2013/8/1,,原(C1O950)站因擴充為氣象站，於2013/8/1升級為(C0O950)站。,C1O950
C0O960,崎頂,112,120.369317,22.959547,臺南市,龍崎區中坑里5鄰13號,2013/4/18,,原(C1O960)站因擴充為氣象站，於2013/4/18升級為(C0O960)站。,C1O960
C0O970,虎頭埤,71,120.347878,23.021375,臺南市,新化區口埤18號(新化分場),2013/8/1,,原(C1O970)站因擴充為氣象站，於2013/8/1升級為(C0O970)站。,C1O970
C0O980,新市,18,120.298197,23.061614,臺南市,新市區永就里53號(番子寮農場),2013/8/1,,原(C1O980)站因擴充為氣象站，於2013/8/1升級為(C0O980)站。,C1O980
C0O990,媽廟,18,120.293525,22.99175,臺南市,歸仁區中正北路3段60號(保西國民小學內),2013/12/1,,原(C1O990)站因擴充為氣象站，於2013/12/1升級為(C0O990)站。,C1O990
467410,臺南,40.8,120.204772,22.993239,臺南市,中西區公園路21號,1897/01/01,,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,
467420,永康,8.1,120.2367,23.038386,臺南市,永康區鹽行里正南五街520巷88號,1941/6/1,,,
C0X050,東河,25,120.385608,23.296598,臺南市,東山區東河里54號(東河水利工作站),2015/7/1,,原(C1X050)站因擴充為氣象站及移位，於2015/7/1升級為(C0X050)站。,C1X050
C0X060,下營,19,120.256261,23.22695,臺南市,下營區仁里里下營國小附近,2015/7/1,,原(C1X060)站因擴充為氣象站，於2015/7/1升級為(C0X060)站。,C1X060
C0X080,佳里,2,120.145086,23.173039,臺南市,佳里區西方之埔尾，近七股區之篤加,1992/12/9,,本站於2015/5/11起進行儀器汰換，並於2015/7/1完成驗收。,
C0X100,臺南市北區,10,120.194228,23.010394,臺南市,北區文賢路678號(和緯消防分隊),2013/2/20,,,
C0X110,臺南市南區,20,120.188378,22.961189,臺南市,南區明興路2號(南區區公所),2013/2/20,,,
C0X120,麻豆,28,120.248611,23.183289,臺南市,麻豆區興國路9號(麻豆消防分隊5樓頂),2013/3/9,,,
C0X130,官田,27,120.315422,23.193217,臺南市,官田區中山路一段132號(官田區公所),2013/3/1,,,
C0X140,西港,17,120.203108,23.125608,臺南市,西港區中山路450號(西港消防分隊4樓頂),2013/3/1,,,
C0X150,安定,18,120.227839,23.102614,臺南市,安定區南安里33-11號,2013/3/15,,,
C0X160,仁德,26,120.257689,22.968258,臺南市,仁德區仁義路432號(仁德消防分隊),2013/2/28,,,
C0X170,關廟,50,120.327797,22.963017,臺南市,關廟區中正路998號(關廟區公所3樓頂),2013/5/9,,,
C0X180,山上,62,120.363253,23.0757,臺南市,山上區豐德里隙子口5之1號(中油豐德供油中心2樓頂),2013/3/15,,,
C0X190,安平,10,120.152181,22.993161,臺南市,安平區城平路2號(台江國家公園管理處),2013/2/21,,,
C0X200,左鎮,61,120.408522,23.056758,臺南市,左鎮區中正里171號之4(左鎮區公所),2013/3/7,,2016/10/18因公所施工暫時無法提供資料，2017/1/24完工。,
C0X210,白河,38,120.414427,23.347466,臺南市,白河區中山路6號(白河消防分隊),2015/4/8,,,
C0X220,學甲,26,120.182187,23.230367,臺南市,學甲區華宗路313號(學甲區公所),2015/5/18,,,
C0X230,鹽水,29,120.247641,23.272621,臺南市,鹽水區竹埔里1號(竹埔派出所),2015/4/15,,,
C0X240,關子嶺,394,120.508025,23.331169,臺南市,白河區關嶺里94-3號(仙草國小關嶺分校),2015/4/12,,於2015/12/8短距離移位。本站於2015/11/23起進行儀器汰換，並於2015/12/8完成驗收。,
C0X250,新營,33,120.316698,23.310712,臺南市,新營區中正路30號(南瀛親子館),2015/4/10,,,
C0X260,後壁,39,120.362326,23.366358,臺南市,後壁區後壁里129號(後壁圖書館),2015/4/9,,,
C0X280,將軍,22,120.13577,23.214999,臺南市,將軍區將貴里58號(將軍國小),2015/4/15,,,
C0X290,北門,10,120.125481,23.267772,臺南市,北門區北門里舊埕108號(北門區公所),2015/7/22,,,
C0X300,鹿寮,70,120.477331,23.386047,臺南市,白河區崎內里12號(鹿寮水庫),2015/10/28,,,
C0X310,七股,9,120.086253,23.147289,臺南市,七股區鹽埕237-11號(氣象局七股雷達站區內),2015/12/27,,,
C0X320,柳營,30,120.375253,23.253328,臺南市,臺南市柳營區國道3號北上324.7K處,2020/2/5,,,
