觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,1970,126,1295,801,209060,6657,門票數
七股鹽山,43802,8636,33055,19383,1091675,130696,門票數
北門遊客中心, - ,24005,15388,8617, - ,41685,停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,19142,10494,8648, - ,22677,停車數概估
尖山埤江南渡假村,11608,7062,4123,14547,426876,28549,門票數  
烏山頭水庫風景區,5698,1075,4194,2579,531500,16981,門票數
曾文水庫,14710,403,3510,11603,873375,18302,門票數
關子嶺溫泉區, - ,151119,78435,72684, - ,112118,自動車流監視
虎頭埤風景區,10167,16619,10856,15930,799906,44925,門票數
南元休閒農場,4829,1467,3598,2698,1332950,18223,門票數
走馬瀨農場,10444,6789,8196,9037,1155630,47939,門票數
烏樹林休閒園區, - ,4120,2420,1700, - ,7714,門票數
頑皮世界,8920,202,5732,3390,3389410,29888,門票數  
南鯤鯓代天府, - ,710100,426060,284040, - ,1010700,廟方估計 
麻豆代天府, - ,240773,144464,96309, - ,513736,廟方估計
馬沙溝濱海遊憩區, - , - , - , - , - , - , - 
國立臺灣歷史博物館, - , - , - , - , - , - , - 
奇美博物館, - , - , - , - , - , - , - 
延平郡王祠, - ,15274,4772,10502, - ,12623,人工計數器
赤崁樓,40677,19941,25865,34753,1649245,83032,門票數  
臺南孔子廟,13367,6014,8289,11092,328340,28387,人工計數器 
祀典武廟, - ,42433,18106,24327, - ,58122,人工計數器
五妃廟, - ,5666,3346,2320, - ,5666,人工計數器
大天后宮, - ,48494,20692,27802, - ,66426,人工計數器
安平小鎮,88555,38910,57842,69623,3459354,181266,門票數  
