觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"2,360",8,"1,450",918,"$184,180 ","1,034",門票數
七股鹽山,"35,597","8,212","26,794","17,015","$911,425 ","30,681",門票數
北門遊客中心, - ,"32,134","20,144","11,990", - ,"16,444",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"12,595","6,119","6,476", - ,"7,526",停車數概估
尖山埤江南渡假村,"16,857","4,852","5,177","16,532","$578,520 ","13,666",門票數  
烏山頭水庫風景區,"13,705","1,494","8,991","6,208","$921,455 ","40,278",門票數
曾文水庫,"24,579","1,753","14,903","11,429","$1,380,413 ","18,071",門票數
關子嶺溫泉區, - ,"128,216","79,354","48,862", - ,"56,659",自動車流監視
虎頭埤風景區,"13,102","17,855","15,446","15,511","$754,644 ","35,336",門票數
南元休閒農場,"3,747","1,290","2,106","2,931","$979,295 ","1,836",門票數
走馬瀨農場,"5,575","7,461","3,963","9,073","$1,073,440 ","11,306",門票數
烏樹林休閒園區, - ,"6,197","2,980","3,217", - ,"1,452",門票數
頑皮世界,"32,215","1,265","22,110","11,370","$10,925,233 ","15,163",門票數
南鯤鯓代天府, - ,"500,000","300,000","200,000", - ,"200,000",廟方估計
麻豆代天府, - ,"285,359","171,215","114,144", - ,"12,480",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自109年6月25日起開放入園(因天候問題，3月休園)
國立臺灣歷史博物館,"11,959","21,261","16,887","16,333","$1,037,484 ","9,784",人工計數器 (109年6至12月整修期間不收門票)
奇美博物館,"32,045","12,623","20,249","24,419","$4,387,499 ","24,246",人工計數器
延平郡王祠, - , - , - , - , - ,"4,613",人工計數器 (因屬開放式景點故自109年5月起不統計)
赤崁樓,"17,764","10,465","14,746","13,483","$799,595 ","18,892",門票數
臺南孔子廟,休館,休館,休館,休館,休館,休館,人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"19,760","10,322","9,438", - ,"13,224",人工計數器
五妃廟, - , - , - , - , - ,"4,908",人工計數器 (因屬開放式景點故自109年5月起不統計)
大天后宮, - ,"22,583","11,797","10,786", - ,"15,114",人工計數器
安平小鎮,"54,540","30,462","42,188","42,814","$2,197,085 ","49,980",門票數
