觀光遊憩區別,遊客人次有門票_需購票,遊客人次無門票_免費,遊客人次假日,遊客人次非假日,門票收入_元 ,上年同月遊客人數,備註
臺灣鹽博物館,"4,384 ",249 ,"2,371 ","2,262 ","$398,730 ","6,780 ",門票數
七股鹽山,"39,776 ","10,852 ","28,010 ","22,618 ","$999,850 ","53,581 ",門票數
北門遊客中心, - ,"21,181 ","11,446 ","9,735 ", - ,"21,235 ",停車數概估(自105年9月起調整人次計算方式以停車數概估)
井仔腳瓦盤鹽田, - ,"21,610 ","4,099 ","17,511 ", - ,"17,077 ",停車數概估
尖山埤江南渡假村,"10,964 ","7,660 ","7,615 ","11,009 ","$320,922 ","21,635 ",門票數  
烏山頭水庫風景區,"19,106 ","1,612 ","8,552 ","12,166 ","$1,836,245 ","29,832 ",門票數
曾文水庫,"20,230 ",513 ,"5,599 ","15,144 ","$1,076,910 ","19,422 ",門票數
關子嶺溫泉區, - ,"73,015 ","27,324 ","45,691 ", - ,"61,443 ",自動車流監視
虎頭埤風景區,"5,854 ","14,581 ","3,477 ","16,958 ","$324,024 ","24,287 ",門票數
南元休閒農場,"2,993 ","1,339 ","2,360 ","1,972 ","$776,620 ","6,647 ",門票數
走馬瀨農場,"7,301 ","4,502 ","6,222 ","5,581 ","$876,140 ","16,766 ",門票數
烏樹林休閒園區, - ,"4,284 ","3,193 ","1,091 ", - ,"5,513 ",門票數
頑皮世界,"9,588 ",123 ,"5,635 ","4,076 ","$3,649,120 ","10,388 ",門票數
南鯤鯓代天府, - ,"912,000 ","547,200 ","364,800 ", - ,"911,700 ",廟方估計
麻豆代天府, - ,"375,693 ","225,416 ","150,277 ", - ,"395,466 ",廟方估計
馬沙溝濱海遊憩區,休館,休館,休館,休館,休館,休館,自105年11月1日起休園
國立臺灣歷史博物館,"15,800 ","26,644 ","18,209 ","24,235 ","$1,463,360 ","41,239 ",人工計數器
奇美博物館,"77,336 ","1,549 ","36,315 ","42,570 ","$8,442,090 ","82,392 ",人工計數器
延平郡王祠, - ,"3,437 ","1,097 ","2,340 ", - ,"11,578 ",人工計數器
赤崁樓,"31,544 ","11,711 ","15,023 ","28,232 ","$1,361,680 ","55,813 ",門票數
臺南孔子廟,休館,休館,休館,休館,休館,"20,738 ",人工計數器 (自108年2月15日起休館維修)
祀典武廟, - ,"30,279 ","10,516 ","19,763 ", - ,"39,069 ",人工計數器
五妃廟, - ,"5,444 ","1,989 ","3,455 ", - ,"5,486 ",人工計數器
大天后宮, - ,"34,604 ","12,018 ","22,586 ", - ,"44,650 ",人工計數器
安平小鎮,"72,788 ","20,829 ","34,717 ","58,900 ","$3,004,990 ","112,183 ",門票數
